RegionCode,Region/CityName,CountryName,CountryCode,ProductID,ProductName,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AL,Algeria,Total,AL,2505,Possession of Passenger Car,% of hh,,,,,,,,,24,,,,,,,,,,,,
AL,Algeria,Total,AL,2499,Possession of Colour TV Set,% of hh,,,,,,,,,93,,,,,,,,,,,,
AL,Algeria,Total,AL,2508,Possession of Refrigerator,% of hh,,,,,,,,,88,,,,,,,,,,,,
AL,Algeria,Total,AL,12982,Possession of Cooker,% of hh,,,,,,,,,59,,,,,,,,,,,,
AL,Algeria,Total,AL,2516,Possession of Washing Machine,% of hh,,,,,,,,,25,,,,,,,,,,,,
AL,Algeria,Total,AL,2511,Possession of Telephone,% of hh,,,,,,,,,24,,,,,,,,,,,,
AL,Algeria,Total,AL,12987,Possession of Satellite TV System,% of hh,,,,,,,,,74,,,,,,,,,,,,
AL,Algeria,Total,AL,2506,Possession of Personal Computer,% of hh,,,,,,,,,12,,,,,,,,,,,,
AL,Algeria,Total,AL,59927,Possession of Internet Enabled Computer,% of hh,,,,,,,,,3,,,,,,,,,,,,
AL,Algeria,Total,AL,2494,Possession of Air Conditioner,% of hh,,,,,,,,,6,,,,,,,,,,,,
R012,Algeria,High Plateau Centre,AL,2505,Possession of Passenger Car,% of hh,,,,,,,,,21,,,,,,,,,,,,
R012,Algeria,High Plateau Centre,AL,2499,Possession of Colour TV Set,% of hh,,,,,,,,,91,,,,,,,,,,,,
R012,Algeria,High Plateau Centre,AL,2508,Possession of Refrigerator,% of hh,,,,,,,,,82,,,,,,,,,,,,
R012,Algeria,High Plateau Centre,AL,12982,Possession of Cooker,% of hh,,,,,,,,,51,,,,,,,,,,,,
R012,Algeria,High Plateau Centre,AL,2516,Possession of Washing Machine,% of hh,,,,,,,,,17,,,,,,,,,,,,
R012,Algeria,High Plateau Centre,AL,2511,Possession of Telephone,% of hh,,,,,,,,,21,,,,,,,,,,,,
R012,Algeria,High Plateau Centre,AL,12987,Possession of Satellite TV System,% of hh,,,,,,,,,69,,,,,,,,,,,,
R012,Algeria,High Plateau Centre,AL,2506,Possession of Personal Computer,% of hh,,,,,,,,,10,,,,,,,,,,,,
R012,Algeria,High Plateau Centre,AL,59927,Possession of Internet Enabled Computer,% of hh,,,,,,,,,3,,,,,,,,,,,,
R012,Algeria,High Plateau Centre,AL,2494,Possession of Air Conditioner,% of hh,,,,,,,,,3,,,,,,,,,,,,
R013,Algeria,High Plateau East,AL,2505,Possession of Passenger Car,% of hh,,,,,,,,,19,,,,,,,,,,,,
R013,Algeria,High Plateau East,AL,2499,Possession of Colour TV Set,% of hh,,,,,,,,,92,,,,,,,,,,,,
R013,Algeria,High Plateau East,AL,2508,Possession of Refrigerator,% of hh,,,,,,,,,86,,,,,,,,,,,,
R013,Algeria,High Plateau East,AL,12982,Possession of Cooker,% of hh,,,,,,,,,49,,,,,,,,,,,,
R013,Algeria,High Plateau East,AL,2516,Possession of Washing Machine,% of hh,,,,,,,,,22,,,,,,,,,,,,
R013,Algeria,High Plateau East,AL,2511,Possession of Telephone,% of hh,,,,,,,,,20,,,,,,,,,,,,
R013,Algeria,High Plateau East,AL,12987,Possession of Satellite TV System,% of hh,,,,,,,,,75,,,,,,,,,,,,
R013,Algeria,High Plateau East,AL,2506,Possession of Personal Computer,% of hh,,,,,,,,,11,,,,,,,,,,,,
R013,Algeria,High Plateau East,AL,59927,Possession of Internet Enabled Computer,% of hh,,,,,,,,,3,,,,,,,,,,,,
R013,Algeria,High Plateau East,AL,2494,Possession of Air Conditioner,% of hh,,,,,,,,,4,,,,,,,,,,,,
R014,Algeria,High Plateau West,AL,2505,Possession of Passenger Car,% of hh,,,,,,,,,17,,,,,,,,,,,,
R014,Algeria,High Plateau West,AL,2499,Possession of Colour TV Set,% of hh,,,,,,,,,91,,,,,,,,,,,,
R014,Algeria,High Plateau West,AL,2508,Possession of Refrigerator,% of hh,,,,,,,,,85,,,,,,,,,,,,
R014,Algeria,High Plateau West,AL,12982,Possession of Cooker,% of hh,,,,,,,,,70,,,,,,,,,,,,
R014,Algeria,High Plateau West,AL,2516,Possession of Washing Machine,% of hh,,,,,,,,,16,,,,,,,,,,,,
R014,Algeria,High Plateau West,AL,2511,Possession of Telephone,% of hh,,,,,,,,,40,,,,,,,,,,,,
R014,Algeria,High Plateau West,AL,12987,Possession of Satellite TV System,% of hh,,,,,,,,,73,,,,,,,,,,,,
R014,Algeria,High Plateau West,AL,2506,Possession of Personal Computer,% of hh,,,,,,,,,9,,,,,,,,,,,,
R014,Algeria,High Plateau West,AL,59927,Possession of Internet Enabled Computer,% of hh,,,,,,,,,3,,,,,,,,,,,,
R014,Algeria,High Plateau West,AL,2494,Possession of Air Conditioner,% of hh,,,,,,,,,3,,,,,,,,,,,,
R016,Algeria,North East,AL,2505,Possession of Passenger Car,% of hh,,,,,,,,,22,,,,,,,,,,,,
R016,Algeria,North East,AL,2499,Possession of Colour TV Set,% of hh,,,,,,,,,95,,,,,,,,,,,,
R016,Algeria,North East,AL,2508,Possession of Refrigerator,% of hh,,,,,,,,,91,,,,,,,,,,,,
R016,Algeria,North East,AL,12982,Possession of Cooker,% of hh,,,,,,,,,58,,,,,,,,,,,,
R016,Algeria,North East,AL,2516,Possession of Washing Machine,% of hh,,,,,,,,,23,,,,,,,,,,,,
R016,Algeria,North East,AL,2511,Possession of Telephone,% of hh,,,,,,,,,26,,,,,,,,,,,,
R016,Algeria,North East,AL,12987,Possession of Satellite TV System,% of hh,,,,,,,,,77,,,,,,,,,,,,
R016,Algeria,North East,AL,2506,Possession of Personal Computer,% of hh,,,,,,,,,13,,,,,,,,,,,,
R016,Algeria,North East,AL,59927,Possession of Internet Enabled Computer,% of hh,,,,,,,,,3,,,,,,,,,,,,
R016,Algeria,North East,AL,2494,Possession of Air Conditioner,% of hh,,,,,,,,,5,,,,,,,,,,,,
R015,Algeria,North Centre,AL,2505,Possession of Passenger Car,% of hh,,,,,,,,,30,,,,,,,,,,,,
R015,Algeria,North Centre,AL,2499,Possession of Colour TV Set,% of hh,,,,,,,,,94,,,,,,,,,,,,
R015,Algeria,North Centre,AL,2508,Possession of Refrigerator,% of hh,,,,,,,,,89,,,,,,,,,,,,
R015,Algeria,North Centre,AL,12982,Possession of Cooker,% of hh,,,,,,,,,63,,,,,,,,,,,,
R015,Algeria,North Centre,AL,2516,Possession of Washing Machine,% of hh,,,,,,,,,31,,,,,,,,,,,,
R015,Algeria,North Centre,AL,2511,Possession of Telephone,% of hh,,,,,,,,,23,,,,,,,,,,,,
R015,Algeria,North Centre,AL,12987,Possession of Satellite TV System,% of hh,,,,,,,,,73,,,,,,,,,,,,
R015,Algeria,North Centre,AL,2506,Possession of Personal Computer,% of hh,,,,,,,,,15,,,,,,,,,,,,
R015,Algeria,North Centre,AL,59927,Possession of Internet Enabled Computer,% of hh,,,,,,,,,4,,,,,,,,,,,,
R015,Algeria,North Centre,AL,2494,Possession of Air Conditioner,% of hh,,,,,,,,,6,,,,,,,,,,,,
R017,Algeria,North West,AL,2505,Possession of Passenger Car,% of hh,,,,,,,,,23,,,,,,,,,,,,
R017,Algeria,North West,AL,2499,Possession of Colour TV Set,% of hh,,,,,,,,,96,,,,,,,,,,,,
R017,Algeria,North West,AL,2508,Possession of Refrigerator,% of hh,,,,,,,,,90,,,,,,,,,,,,
R017,Algeria,North West,AL,12982,Possession of Cooker,% of hh,,,,,,,,,65,,,,,,,,,,,,
R017,Algeria,North West,AL,2516,Possession of Washing Machine,% of hh,,,,,,,,,24,,,,,,,,,,,,
R017,Algeria,North West,AL,2511,Possession of Telephone,% of hh,,,,,,,,,28,,,,,,,,,,,,
R017,Algeria,North West,AL,12987,Possession of Satellite TV System,% of hh,,,,,,,,,78,,,,,,,,,,,,
R017,Algeria,North West,AL,2506,Possession of Personal Computer,% of hh,,,,,,,,,9,,,,,,,,,,,,
R017,Algeria,North West,AL,59927,Possession of Internet Enabled Computer,% of hh,,,,,,,,,3,,,,,,,,,,,,
